id,date,tweet
1436114726237335559,2021-09-09 23:50:07+00:00,Deep breath… Current state of crypto: Everything falls when #Bitcoin does so it will always be king. $eth and Etherum NFTs have no chance of survival at current gas ($100 to buy $20 NFT). $Sol is rocking. $xrp and $bsv will never. People are still sleeping on $nano
1436085234936778753,2021-09-09 21:52:55+00:00,#Etherum like nice against #bitcoin
1436058687194472456,2021-09-09 20:07:26+00:00,"should i buy ethereum ☹️
i only have .2 ethe but idk of i should buy rn i’m going to put in $500. should i go for it or wait a little more? #stocks #Crypto #Etherum"
1436026360967860227,2021-09-09 17:58:59+00:00,"To succeed, focus on your strengths. How to figure out your strengths? Write down everything you love doing. Ask your family and friends how they would describe you. 
$GUNS #GeniusTokens #Blockchain #Crypto #Etherum"
1436000623716179968,2021-09-09 16:16:42+00:00,"This whole time us #XRP holders thought we were investing the bankers coin, when it has turned out to be #etherum"
1435936409488134146,2021-09-09 12:01:33+00:00,"$ETH Current Price (USD):  $3494.67269 #Etherum
$ETH 24h Volume (USD):  $28233931915 #Etherum
$ETH Market Cap (USD):  $410454440612 #Etherum"
1435861176005664775,2021-09-09 07:02:36+00:00,I know you don’t like to hear this but Etherum has more potential future than BTC.
1435848512969879556,2021-09-09 06:12:16+00:00,"Hi everyone, on which blockchain I should mint new collection on opensea? Polygon or Etherum. Please give me an advice."
1435825103976108032,2021-09-09 04:39:15+00:00,Can't wait for alzona upgraded ..gonna see Adapad like etherum soon ..@BSCPad @ADAPadofficial #ADA #ADAPAD #Ethereum #BTC
1435815095880146953,2021-09-09 03:59:29+00:00,$ETH … which ETF best tracks Etherum ? Heard there is one in Canada?
1435783088492228609,2021-09-09 01:52:18+00:00,"At this rate, #Solana will over take #Etherum by Christmas. 😎"
1435781606871031812,2021-09-09 01:46:25+00:00,"Doing long term investments on Etherum &amp; Doge etc. bc I know crypto is gonna SURGE by this time next year. You should get in on it too , before they become just like Bitcoin ($30,000+)"
1435772288511750147,2021-09-09 01:09:23+00:00,"That's it. I just traded my GRT for band.
Band does what grt and chainlink do for the etherum network.
I'm through with the graph.
They dump way to much and to often fo my tastes."
1435768295815217154,2021-09-09 00:53:31+00:00,"$DOGE is being manipulated so it never goes past 1 dollar because that would put it above #bitcoin and #etherum and #binance and they would lose their shit if #dogecoin goes to $5 dollars.

IT WILL COME AND THEY CANNOT STOP IT

$DOGE #Dogecoin #dogearmy #Dogecoinarmy"
1435756060208418816,2021-09-09 00:04:54+00:00,Y’all think dash Bitcoin and etherum will drop more over night?
